X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,Number_of_,Descript_1,Co_ordinat
0.133470000000000,52.194769999999998,"1",Station Rd,,,,,"-1","0","-1",,,"1",,"52.19477, 0.13347"
0.134840000000000,52.195613999999999,"2",Tenison Rd,,,,,"-1","0","-1",,,"1",,"52.195614, 0.134840"
0.135148100000000,52.195504200000002,"3",Great Northern Road,,,,,"-1","0","-1",,,"1",,"52.1955042, 0.1351481"
0.150644000000000,52.235560999999997,"4",A1309 Milton Road,,,,,"-1","0","-1",,,"3",,"52.235561, 0.150644"
0.150686000000000,52.239595000000001,"6",A10 Cambridge Road,,,,,"-1","0","-1",,,"1",,"52.239595, 0.150686"
0.152777000000000,52.238652000000002,"7",Cambridge Rd,,,,,"-1","0","-1",,,"1",,"52.238652, 0.152777"
0.176750000000000,52.225490000000001,"8",B1047 Horningsea Road,,,,,"-1","0","-1",,,"1",,"52.22549, 0.17675"
0.181810000000000,52.231610000000003,"9",B1047 Horningsea Road,,,,,"-1","0","-1",,,"1",,"52.23161, 0.18181"
0.208080000000000,52.212569999999999,"10",A1303 Newmarket Road,,,,,"-1","0","-1",,,"1",,"52.21257, 0.20808"
0.216156000000000,52.215468999999999,"11",A1303 Newmarket Road,,,,,"-1","0","-1",,,"2",,"52.215469, 0.216156"
