OBJECTID,Shape_Leng,GroupCount,vertex_ind,vertex_par,vertex_p_1,distance,angle,x,y
"2103",371.08242446900,3.000000,"1","0","1",185.54660243445653,307.05346006366494,2911.83210,6846578.79560
"2103",371.08242446900,3.000000,"2","0","2",371.08242446925402,307.05440725226566,2763.76270,6846690.59450
"2104",22.41829853140,2.000000,"0","0","0",0.00000000000000,305.75327344532127,2763.76270,6846690.59450
"2104",22.41829853140,2.000000,"1","0","1",11.21126902171966,305.81120112397332,2754.66430,6846697.14520
"2104",22.41829853140,2.000000,"2","0","2",22.41829853135077,305.86912880262543,2745.58260,6846703.71180
"2105",151.40792478000,2.000000,"0","0","0",0.00000000000000,304.59816872482457,2745.58260,6846703.71180
"2105",151.40792478000,2.000000,"1","0","1",75.70619936334722,304.60650929066787,2683.26470,6846746.69910
"2105",151.40792478000,2.000000,"2","0","2",151.40792477962555,304.61484985651123,2620.96300,6846789.70200
"2106",72.60801563710,3.000000,"0","0","0",0.00000000000000,306.54531839327672,2620.96300,6846789.70200
"2106",72.60801563710,3.000000,"1","0","1",36.30396253020618,306.55892509064637,2591.79690,6846811.31950
"2106",72.60801563710,3.000000,"2","0","2",62.17299093688328,306.52275762563579,2571.02140,6846826.73330
"2106",72.60801563710,3.000000,"3","0","3",65.43250915005476,306.47628781377313,2568.40030,6846828.67090
"2106",72.60801563710,3.000000,"4","0","4",72.60801563712118,306.47959216429064,2562.63070,6846832.93700
"2107",1993.39402505000,3.000000,"0","0","0",0.00000000000000,306.03318455948147,2562.63070,6846832.93700
"2107",1993.39402505000,3.000000,"1","0","1",5.00175332387942,305.89774673693489,2558.58590,6846835.87930
"2107",1993.39402505000,3.000000,"2","0","2",8.84451130450420,305.83038754901389,2555.46770,6846838.12510
"2107",1993.39402505000,3.000000,"3","0","3",996.67470927844613,305.89572457786437,1755.26860,6847417.34000
"2107",1993.39402505000,3.000000,"4","0","4",1574.14444691018025,305.27934869736691,1287.45260,6847755.89500
"2107",1993.39402505000,3.000000,"5","0","5",1993.39402505436760,304.66571442264456,942.62630,6847994.35890
"2108",236.17576116900,1.000000,"0","0","0",0.00000000000000,304.66276990117188,942.62630,6847994.35890
"2108",236.17576116900,1.000000,"1","0","1",118.07607672613921,304.66358778395170,845.50710,6848061.51410
"2108",236.17576116900,1.000000,"2","0","2",236.17576116852229,304.66440566673145,748.37040,6848128.68550
"2109",225.11712127000,3.000000,"0","0","0",0.00000000000000,306.32996698351894,748.37040,6848128.68550
"2109",225.11712127000,3.000000,"1","0","1",112.55351754077267,306.33307080942859,657.69520,6848195.36610
"2109",225.11712127000,3.000000,"2","0","2",225.11712127005757,306.33617463533812,567.01910,6848262.06250
"2110",123.67999878500,2.000000,"0","0","0",0.00000000000000,305.93163572816417,567.01910,6848262.06250
"2110",123.67999878500,2.000000,"1","0","1",61.84661237920996,305.93573349945848,516.94080,6848298.35530
"2110",123.67999878500,2.000000,"2","0","2",123.67999878465235,305.93983127075279,466.87840,6848334.64750
"2111",466.20844846000,1.000000,"0","0","0",0.00000000000000,305.36283174760854,466.87840,6848334.64750
"2111",466.20844846000,1.000000,"1","0","1",233.10215256462993,305.36216898130306,276.78280,6848469.55590
"2111",466.20844846000,1.000000,"2","0","2",466.20844845981486,305.36150621499758,86.68070,6848604.46230
"2112",1365.42894340000,1.000000,"0","0","0",0.00000000000000,305.40994137363481,86.68070,6848604.46230
"2112",1365.42894340000,1.000000,"1","0","1",682.69740011869010,305.40798074767304,-469.73630,6849000.03260
"2112",1365.42894340000,1.000000,"2","0","2",1365.42894340328075,305.40602012171126,-1026.20820,6849395.58460
"2113",253.28295255500,2.000000,"0","0","0",0.00000000000000,305.62368263803432,-1026.20820,6849395.58460
"2113",253.28295255500,2.000000,"1","0","1",126.64307538998771,305.62845926663817,-1129.15130,6849469.34900
"2113",253.28295255500,2.000000,"2","0","2",253.28295255521579,305.63323589524208,-1232.07950,6849543.12870
"2114",137.08905018700,2.000000,"0","0","0",0.00000000000000,304.90330550500050,-1232.07950,6849543.12870
"2114",137.08905018700,2.000000,"1","0","1",68.54433218008364,304.90494147617738,-1288.29400,6849582.34930
"2114",137.08905018700,2.000000,"2","0","2",126.66627183305631,304.95671796402013,-1335.95900,6849615.60900
"2114",137.08905018700,2.000000,"3","0","3",129.07042267936455,304.92588768711198,-1337.92820,6849616.98820
"2114",137.08905018700,2.000000,"4","0","4",137.08905018669765,304.84491689353808,-1344.50910,6849621.56970
"2115",31.92480078360,2.000000,"0","0","0",0.00000000000000,304.81218773686157,-1344.50910,6849621.56970
"2115",31.92480078360,2.000000,"1","0","1",4.50508501666282,304.92419786696644,-1348.20790,6849624.14160
"2115",31.92480078360,2.000000,"2","0","2",8.92404788667518,304.98105541868250,-1351.82610,6849626.67850
"2115",31.92480078360,2.000000,"3","0","3",15.97362518264435,304.91667580017469,-1357.60600,6849630.71450
"2115",31.92480078360,2.000000,"4","0","4",31.92480078362202,304.90744876005579,-1370.68720,6849639.84260
"2116",221.29167794000,3.000000,"0","0","0",0.00000000000000,306.24297288978300,-1370.68720,6849639.84260
"2116",221.29167794000,3.000000,"1","0","1",110.65208385305120,306.24508674949419,-1459.93000,6849705.26130
"2116",221.29167794000,3.000000,"2","0","2",221.29167793971155,306.24720060920532,-1549.15790,6849770.67920
"2117",1784.64953325000,3.000000,"0","0","0",0.00000000000000,306.46194749330067,-1549.15790,6849770.67920
"2117",1784.64953325000,3.000000,"1","0","1",892.30171771989876,306.45972032780986,-2266.79310,6850300.96410
"2117",1784.64953325000,3.000000,"2","0","2",1784.64953324556950,306.45749316231894,-2984.50660,6850831.22060
